source_id,ra,dec,parallax,pmra,pmdec,pm,distance_gspphot,x_pc,y_pc,z_pc
6719483279571823872,271.05359888252985,-47.08351286104703,0.1231872691831156,-4.806400884059198,-5.983651832085659,7.674997,3594.2617,45.00299300165089,-2447.0327043007987,-2632.2467290871696
2700927743579335552,327.6124392353991,7.732924355271122,0.7136732506102723,-0.8223377011041897,-8.39656226225171,8.436735,958.2991,801.8710473283536,-508.6386701294144,128.9445298037886
4805875134992605056,81.85068748928441,-42.32847686805334,0.7463208153039427,0.38600373256026,8.08165214583947,8.090865,1437.4958,150.64623799901432,1052.0041419664988,-967.9809767137548
4472051619419453312,273.00675918308247,6.868843392972199,0.3938900206496355,-0.3278771157896659,1.334691136889512,1.374374,1885.4786,98.19059427143287,-1869.3686152735181,225.4975354298845
6719780216435046656,270.8749725300045,-46.221645348184104,0.1957031599874281,-3.0446098525715737,-4.417199529020644,5.3648205,7053.0967,74.51771509947177,-4879.260233569556,-5092.488560889854
4471620645221095552,272.8451607779079,5.521976698667163,0.3277820370573596,-1.5397212518374903,-3.445984302071679,3.7743278,3187.37,157.4773389315711,-3168.6678065589963,306.712791222715
5916270347357185536,260.24042626810564,-57.52621143371399,1.0345311946771971,1.530716336610468,-2.2976020629591005,2.7608092,1021.401,-92.9622908457111,-540.467567625469,-861.6918379715144
5818379585873076224,252.9084762982568,-62.382926870548275,0.4926651723961185,2.0005481938626555,-4.110561122904631,4.5715322,2017.8293,-274.9086810807551,-894.0752500843006,-1787.9288990873283
6699358024880580992,304.5244519227726,-33.96640281179638,0.2430161221725758,-0.1328441450731514,-6.182863677291147,6.184291,2414.104,1134.7480129213918,-1649.5600384854542,-1348.776018996044
6430349139206212096,301.51565542503937,-63.5546064468268,0.1746429144249894,4.678639192665613,-10.748457504366533,11.722585,3689.1514,858.8185919258851,-1400.6053966504815,-3303.115680862229
4123815357519951616,266.76331118669134,-16.829658009461337,0.5403503105836084,-1.3553900293712149,-1.4778342166503171,2.0052621,2196.181,-118.68734094538316,-2098.764768047876,-635.8543451618941
5826396576156129536,237.2726254069011,-63.26158287523102,0.3908490150538532,-1.2680760358114729,-3.927960748802064,4.1275773,764.3683,-185.928506027785,-289.309271658288,-682.6343340498754
2681135125530063232,326.78827016826517,0.0371566851691228,0.5725872232253416,8.716078537205036,-2.3045511728848647,9.015596,9956.687,8330.282296619904,-5453.62000711952,6.456975738857541
3392333945415745792,77.23654743595179,15.585628773200009,0.1625365399038953,3.904814836981609,-2.2978984835469816,4.5307746,2074.5747,441.4756444083801,1948.9157055594967,557.3930515334979
6072606087469046400,185.74652121003075,-56.462368223786406,0.3106761678591456,-6.0049545757632,1.992799543527924,6.3269844,2774.123,-1524.957897061734,-153.46165776510057,-2312.295688469371
3419700411874649984,73.97698683383106,24.72456309467942,0.8798212789847243,-0.0776160474693858,-8.816408723057739,8.816751,1433.4736,359.40060484722767,1251.4815058452277,599.5596781470283
4264556561051521920,290.7421711490286,1.4529696597544863,0.3752655595215445,3.6855960358927566,0.1123121715604864,3.687307,2126.807,752.994713017046,-1988.3155516878085,53.92814046284525
5865652371072802432,207.7174463086415,-61.3431041349919,0.6606285543593358,-22.68731356296159,-7.560872355442972,23.914034,1513.8424,-642.6783976714959,-337.66337497080286,-1328.4075934770494
6653672316016265856,275.86670283386417,-53.03901967254683,0.2476604641194287,-7.865549316601914,-5.6443181252046495,9.681177,3849.8938,236.60902817805967,-2302.705295552769,-3076.239061077066
6101266472948362752,220.79052547726863,-42.98105983918294,0.2965623076249364,-10.175121975270914,-6.962021403475309,12.328943,2328.5928,-1289.7628617637658,-1112.9213065428826,-1587.533418252877
6888792982011753472,315.2459791560738,-12.40142084541211,0.2991103401225271,-7.444657286335355,-12.910449079275178,14.903108,2316.1433,1606.3990136336065,-1592.66488036772,-497.41388598946793
5410150026798168192,144.0550209922586,-48.04819530192242,0.221797176047211,-5.206686541458964,6.086658734212808,8.009807,4568.3516,-2472.433935268957,1792.703364807,-3397.5169495916684
5575849555828333184,100.47451093877127,-39.99948785450975,0.4072585471070584,0.0285321661718541,2.462477131110953,2.4626424,3185.9988,-443.7027751615694,2399.963950307304,-2047.8987372769973
5608680629439513856,104.166912571817,-29.73753970291807,1.421005357275256,5.236990790932746,-11.443195394249638,12.584625,695.9323,-147.8966794511534,585.9045439919403,-345.20168556976864
