source_id,ra,dec,parallax,pmra,pmdec,pm,distance_gspphot
6697361243045768320,300.7962504517758,-36.363598495119824,3.981470794297181,-3.7749278515613627,5.143532070164899,6.3801255,
3217591384209240832,84.170120200841,-1.1571866158110442,1.7482205673582778,3.6041110829661904,3.4298406974939915,4.9752812,635.4495
6245767284665912192,242.6439127730848,-19.200926677718368,3.3966735930082352,-17.889898730079388,-29.33608441015128,34.36065,295.307
6699035730535132288,300.58300512858136,-33.76395066169884,2.776791882898651,8.573029645594797,-22.709323389383563,24.273653,354.373
18045704526617600,39.287619785436725,5.222301195598992,1.9984759952131033,9.845374843826463,-9.820346556262928,13.905776,538.2892
598878213846246400,132.4851887388852,11.235465882013521,5.860863273948765,16.833895006991053,-55.202378550438006,57.712067,168.952
3810578964507624192,168.62461280997903,1.9456960481655348,3.294652105609174,-76.16481981330564,-4.60335516647308,76.3038,300.0752
6912217978458229120,316.0746904047655,-4.975142630030214,7.421327689176392,-0.6333882969241585,-20.430097206955374,20.439913,134.1201
651621000652931072,127.16212505275941,14.062147758972223,2.6549642880933524,-0.9650148870561941,-6.237158187765522,6.3113704,364.8187
6322261339399363200,229.01643829919553,-7.102640081898546,4.432392400346789,-86.29559041635738,11.241634610867909,87.02473,227.2271
38294551183787264,59.21261556423229,12.330909373586618,5.6706571743683165,87.28906701483919,-68.3640893997892,110.87394,173.7014
5539888962894146816,124.23052473358547,-39.598696740486844,2.8141361822864237,1.7777711736547601,6.546926228421859,6.784004,340.9858
46271130086053888,60.4812982082953,16.5009750544065,4.9320012505609885,57.233845713269915,-1.528410354263656,57.25425,201.9748
2344438070667783936,13.355657854107864,-26.095700460050907,1.85809508820629,-13.412332573032154,-25.932756299280467,29.195866,476.657
4682221961388421632,64.63180466289054,-57.759594489770365,3.0306830989243854,5.690316610612681,-8.222925275357651,9.99981,309.8342
6242121475909665920,241.8844313810143,-23.577214390876428,2.016275272085045,4.342346662584578,-1.4799005395001759,4.5876007,484.4422
6399670771926369152,321.9609872096072,-68.68463418880032,20.09150376567264,31.522541086038103,-88.29351390141771,93.751884,
5385502412066621184,172.53955648169844,-38.801955054229275,14.507247012740946,-37.90848222823555,-21.892568791376043,43.775993,
6047432841763226112,249.36784938227575,-24.677063219025378,1.9787009736893908,-17.281336132084164,-10.390401314161618,20.16445,
6249770189887222400,243.58526477534542,-16.479736172580512,5.279627370141286,-14.281397522585438,-20.883099396868097,25.29945,187.3882
4738188511991474816,35.51572453375866,-58.52756942283352,2.2051922601113216,-2.3861113683406856,0.8896173494225293,2.5465558,
6108157150979418624,206.27669467381742,-45.514227148838394,3.0479754632222846,-3.2975458609202537,1.612277754012214,3.6705923,362.2066
601771960947521024,129.47496328180094,11.697647561671733,2.3316753219464195,18.15420976068333,-30.23065314886787,35.262836,
658182576809267968,130.14909900344657,16.353190324202945,1.4068002835702809,-4.827669084456616,-2.4928923321963916,5.433314,622.0655
6242290354027196928,241.09164804783617,-23.714582805097002,2.1715790475598458,-0.843230305588843,-4.032415216624145,4.119637,
2608998744611746944,338.2589756141491,-9.993624937021872,4.50847760985527,-9.410006503604471,-6.277453395517906,11.311704,222.2293
6908257636358032384,308.874056349377,-6.1578449570429665,6.062450996397746,25.86187352353406,-19.48954967301426,32.383316,150.4233
4686951991692135424,24.603190748991732,-72.19085471406092,4.917324904331616,11.78891885069978,19.918531404239822,23.145767,202.9479
5295175504620162432,116.78911526940658,-57.950326402198044,3.8206070234715743,42.02419037922098,-24.134785570405416,48.461536,260.0214
6049619151915113600,243.83815041909025,-25.061260605220756,6.389323843734812,-11.051894726085116,-21.870323720518446,24.504192,
6693929976492193408,302.2361169933351,-38.06050935539407,4.26853439332263,-7.244184500055656,-51.18232536317848,51.692444,233.2248
6730864599300176512,284.1656135684685,-37.122509200807414,6.6642268368017135,0.11406369094207403,-28.780629335289888,28.780855,
2559186882144155520,21.322263630161235,1.5831922147827182,2.141998892157779,-3.5752997852783217,2.2365750801631363,4.217231,445.9966
2724731444470521344,329.2503932114055,7.702946125916254,6.259058967449046,-33.29578773411282,-31.320167923306162,45.71173,158.7297
4813677716179913344,74.53031030627284,-41.14091924025669,3.837868531311215,16.39488147768039,-35.75255737281456,39.332397,258.968
5519552361472446080,121.99585659995128,-46.33885417753442,3.116588130500346,-13.95310831018146,10.971120138410603,17.74978,325.829
2614897280897746432,334.7537234924412,-9.737371049069294,3.1934952815718143,-8.2483390224618,24.542403295781497,25.891401,312.2818
3221980325389106176,81.91930989776857,1.0659381731352728,2.8675083067781175,1.734302004673423,-0.21152239652524563,1.7471534,336.3063
4820241147762751232,78.20984030841454,-38.159049169171496,4.983219206069011,-5.524158606184537,-19.37172918593351,20.143988,200.5372
5500245349595161344,92.37065253580592,-54.425139851463875,7.763508743379969,46.20523200415585,-16.820848218246773,49.171783,
