source_id,ra,dec,parallax,pmra,pmdec,pm,distance_gspphot,x_pc,y_pc,z_pc
3217591384209240832,84.170120200841,-1.1571866158110442,1.7482205673582778,3.6041110829661904,3.4298406974939915,4.9752812,635.4495,64.53269185375655,632.0339466674827,-12.833120909729857
6245767284665912192,242.6439127730848,-19.200926677718368,3.3966735930082352,-17.889898730079388,-29.33608441015128,34.36065,295.307,-128.1504327539364,-247.6916960518637,-97.12113333837286
6699035730535132288,300.58300512858136,-33.76395066169884,2.776791882898651,8.573029645594797,-22.709323389383563,24.273653,354.373,149.8896190207106,-253.62116802067467,-196.9508272911158
18045704526617600,39.287619785436725,5.222301195598992,1.9984759952131033,9.845374843826464,-9.820346556262928,13.905776,538.2892,414.89410213552935,339.4372078998153,48.99519101881888
598878213846246400,132.4851887388852,11.23546588201352,5.860863273948765,16.833895006991053,-55.202378550438006,57.712067,168.952,-111.92316206100912,122.20610639537936,32.91886477304941
3810578964507624192,168.62461280997903,1.9456960481655348,3.294652105609174,-76.16481981330564,-4.60335516647308,76.3038,300.0752,-294.0109123675493,59.15157573715213,10.18823594412813
6912217978458229120,316.0746904047655,-4.975142630030214,7.421327689176392,-0.6333882969241585,-20.430097206955377,20.439913,134.1201,96.23535074623061,-92.69126020378275,-11.631370194203981
651621000652931072,127.1621250527594,14.062147758972223,2.6549642880933524,-0.965014887056194,-6.237158187765522,6.3113704,364.8187,-213.77283221021818,282.02222937855055,88.64153775101224
6322261339399363200,229.01643829919553,-7.102640081898546,4.432392400346789,-86.29559041635738,11.241634610867909,87.02473,227.2271,-147.88160015005988,-170.21692740902722,-28.09599499746848
38294551183787264,59.21261556423229,12.330909373586618,5.6706571743683165,87.28906701483919,-68.3640893997892,110.87394,173.7014,86.85860670408283,145.77963835231247,37.09522671792747
5539888962894146816,124.23052473358548,-39.59869674048685,2.8141361822864237,1.77777117365476,6.546926228421859,6.784004,340.9858,-147.7969854696662,217.2276291337246,-217.34655283362622
46271130086053888,60.4812982082953,16.5009750544065,4.9320012505609885,57.233845713269915,-1.528410354263656,57.25425,201.9748,95.41600849163663,168.51885696758885,57.36723807977202
2344438070667783936,13.355657854107864,-26.095700460050907,1.85809508820629,-13.412332573032154,-25.932756299280467,29.195866,476.657,416.48977121881484,98.8812999055322,-209.66796285577703
4682221961388421632,64.63180466289054,-57.759594489770365,3.030683098924386,5.690316610612681,-8.222925275357651,9.99981,309.8342,70.81499990184152,149.34994707635582,-262.0630851280506
6242121475909665920,241.8844313810143,-23.577214390876428,2.016275272085045,4.342346662584578,-1.479900539500176,4.5876007,484.4422,-209.2365736175806,-391.6091387154692,-193.76940903079395
6249770189887222400,243.58526477534545,-16.479736172580512,5.279627370141286,-14.281397522585438,-20.883099396868097,25.29945,187.3882,-79.93802611348026,-160.9301760206192,-53.15757637715496
6108157150979418624,206.27669467381745,-45.514227148838394,3.0479754632222846,-3.2975458609202537,1.612277754012214,3.6705923,362.2066,-227.58276842042287,-112.36325110958961,-258.40705176472926
658182576809267968,130.14909900344657,16.353190324202945,1.4068002835702809,-4.827669084456616,-2.4928923321963916,5.433314,622.0655,-384.86814130651317,456.2514985463109,175.1472813713234
2608998744611746944,338.2589756141491,-9.993624937021872,4.50847760985527,-9.410006503604473,-6.277453395517906,11.311704,222.2293,203.2895736821265,-81.06740328777161,-38.56536185240658
6908257636358032384,308.874056349377,-6.1578449570429665,6.062450996397746,25.86187352353406,-19.48954967301426,32.383316,150.4233,93.86254277386381,-116.43296356059,-16.135589341976537
4686951991692135424,24.603190748991732,-72.19085471406092,4.917324904331616,11.78891885069978,19.918531404239825,23.145767,202.9479,56.43581212449253,25.842133885049744,-193.22275575233408
5295175504620162432,116.78911526940658,-57.95032640219805,3.8206070234715743,42.02419037922098,-24.134785570405416,48.461536,260.0214,-62.18934869436656,123.17212244373525,-220.39111057308097
6693929976492193408,302.2361169933351,-38.06050935539407,4.26853439332263,-7.244184500055656,-51.18232536317848,51.692444,233.2248,97.9510177914619,-155.32635116902526,-143.78153595358953
2559186882144155520,21.322263630161235,1.5831922147827182,2.141998892157779,-3.5752997852783217,2.2365750801631363,4.217231,445.9966,415.30953641655844,162.10835953468683,12.322172779020715
2724731444470521344,329.2503932114055,7.702946125916254,6.259058967449046,-33.29578773411282,-31.32016792330616,45.71173,158.7297,135.1829221362978,-80.42413113665788,21.275675211266634
4813677716179913344,74.53031030627284,-41.14091924025669,3.837868531311215,16.39488147768039,-35.75255737281456,39.332397,258.968,52.01931813095949,187.9616695369598,-170.37847971521745
5519552361472446080,121.99585659995128,-46.33885417753442,3.116588130500346,-13.95310831018146,10.971120138410605,17.74978,325.829,-119.19139940676844,190.77681002974438,-235.71626228016393
2614897280897746432,334.7537234924412,-9.737371049069294,3.1934952815718143,-8.2483390224618,24.542403295781497,25.891401,312.2818,278.38433147247963,-131.27245959461487,-52.81692866724455
3221980325389106176,81.91930989776857,1.0659381731352728,2.8675083067781175,1.734302004673423,-0.2115223965252456,1.7471534,336.3063,47.265576836117376,332.9095238315802,6.256325460652736
4820241147762751232,78.20984030841454,-38.159049169171496,4.983219206069011,-5.524158606184537,-19.37172918593351,20.143988,200.5372,32.21886499180557,154.3554371868568,-123.90122006394498
